Energy,wedge_number,Blade_number,Distance_from_sample_meters,Distance_from_detector_meters,length_of_blade_meters,width_of_blade_meters,blade_x_position_milimeters,blade_y_position_milimeters,blade angle degrees
2.7,1,1,"1,1","1,189","0,134","0,012","-27,32","32,763","53,368"
2.7,1,2,"1,1","1,189","0,134","0,012","-17,992","22,028","53,951"
2.7,1,3,"1,1","1,189","0,134","0,012","-8,884","11,106","54,534"
2.7,1,4,"1,1","1,189","0,134","0,012",0,0,"55,117"
2.7,1,5,"1,1","1,189","0,134","0,012","8,656","-11,284","55,7"
2.7,1,6,"1,1","1,189","0,134","0,012","17,081","-22,742","56,283"
2.7,1,7,"1,1","1,189","0,134","0,012","25,27","-34,369","56,867"
2.7,2,1,"1,189","1,189","0,142","0,0125","-26,383","34,484","53,369"
2.7,2,2,"1,189","1,189","0,142","0,0125","-17,348","23,836","53,952"
2.7,2,3,"1,189","1,189","0,142","0,0125","-8,553",12.06,"54,534"
2.7,2,4,"1,189","1,189","0,142","0,0125",0,0,"55,117"
2.7,2,5,"1,189","1,189","0,142","0,0125","8,307","-12,178","55,7"
2.7,2,6,"1,189","1,189","0,142","0,0125","16,365","-24,552","56,283"
2.7,2,7,"1,189","1,189","0,142","0,0125","24,169","-37,027","56,865"
2.7,3,1,"1,276","1,189","0,1499","0,0135","-25,467","38,14","53,37"
2.7,3,2,"1,276","1,189","0,1499","0,0135","-16,72","25,6","53,953"
2.7,3,3,"1,276","1,189","0,1499","0,0135","-8,23","12,885","54,535"
2.7,3,4,"1,276","1,189","0,1499","0,0135",0,0,"55,117"
2.7,3,5,"1,276","1,189","0,1499","0,0135","7,966","-13,05","55,699"
2.7,3,6,"1,276","1,189","0,1499","0,0135","15,666","-26,259","56,282"
2.7,3,7,"1,276","1,189","0,1499","0,0135","23,095","-39,621","56,864"
3.2,1,1,"1,238","1,316","0,1471","0,014","-33,39","33,726","47,292"
3.2,1,2,"1,238","1,316","0,1471","0,014","-22,051","22,693","47,827"
3.2,1,3,"1,238","1,316","0,1471","0,014","-10,919","11,449","48,361"
3.2,1,4,"1,238","1,316","0,1471","0,014",0,0,"48,896"
3.2,1,5,"1,238","1,316","0,1471","0,014","10,704","-11,651","49,43"
3.2,1,6,"1,238","1,316","0,1471","0,014","21,189","-23,5","49,965"
3.2,1,7,"1,238","1,316","0,1471","0,014","31,45","-35,542","50,5"
3.2,2,1,"1,316","1,316","0,1541","0,0145","-33,134","35,898","47,293"
3.2,2,2,"1,316","1,316","0,1541","0,0145","-21,867","24,139","47,827"
3.2,2,3,"1,316","1,316","0,1541","0,0145","-10,821","12,171","48,361"
3.2,2,4,"1,316","1,316","0,1541","0,0145",0,0,"48,896"
3.2,2,5,"1,316","1,316","0,1541","0,0145","10,592","-12,371","49,43"
3.2,2,6,"1,316","1,316","0,1541","0,0145","20,952","-24,938","49,964"
3.2,2,7,"1,316","1,316","0,1541","0,0145","31,075","-37,695","50,499"
3.2,3,1,"1,392","1,316","0,161","0,015","-31,886","38,013","47,294"
3.2,3,2,"1,392","1,316","0,161","0,015","-21,688","25,547","47,828"
3.2,3,3,"1,392","1,316","0,161","0,015","-10,725","12,875","48,362"
3.2,3,4,"1,392","1,316","0,161","0,015",0,0,"48,896"
3.2,3,5,"1,392","1,316","0,161","0,015","10,483","-13,072","49,43"
3.2,3,6,"1,392","1,316","0,161","0,015","20,721","-26,338","49,964"
3.2,3,7,"1,392","1,316","0,161","0,015","30,71","-39,792","50,498"
3.8,1,1,"1,342","1,42","0,1562","0,011","-40,305","34,636","42,223"
3.8,1,2,"1,342","1,42","0,1562","0,011","-30,057","26,179","42,604"
3.8,1,3,"1,342","1,42","0,1562","0,011","-19,922","17,586","42,985"
3.8,1,4,"1,342","1,42","0,1562","0,011","-9,903","8,859","43,366"
3.8,1,5,"1,342","1,42","0,1562","0,011",0,0,"43,747"
3.8,1,6,"1,342","1,42","0,1562","0,011","9,784","-8,99","44,128"
3.8,1,7,"1,342","1,42","0,1562","0,011","19,447","-18,11","44,509"
3.8,1,8,"1,342","1,42","0,1562","0,011","28,989","-27,357","44,89"
3.8,1,9,"1,342","1,42","0,1562","0,011","38,406","-36,731","45,271"
